Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
223-ФЗ;№32514820521;Прочие;Поставка программного обеспечения 1-С Предприятие;;;1;Поставка программного обеспечения 1-С Предприятие;161500.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ТРАМВАЙНО-ТРОЛЛЕЙБУСНОЕ ПРЕДПРИЯТИЕ ГОРОДА СМОЛЕНСКА;;07.05.2025;07.05.2025;Закупка завершена;;07.05.2025;;
223-ФЗ;№32514807147;Прочие;Лицензионные экземпляры программ для ЭВМ, поставка программного обеспечения Инж-РУ 2025;;;1;Лицензионные экземпляры программ для ЭВМ, поставка программного обеспечения Инж-РУ 2025;780000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ""СТРОИТЕЛЬСТВО""";;30.04.2025;30.04.2025;Закупка завершена;;30.04.2025;;
223-ФЗ;№32514786271;Прочие;Программы для ЭВМ «программное обеспечение для геотехнических расчётов SiO 2D»;;;1;Программы для ЭВМ «программное обеспечение для геотехнических расчётов SiO 2D»;180000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ""СТРОИТЕЛЬСТВО""";;24.04.2025;24.04.2025;Закупка завершена;;24.04.2025;;
223-ФЗ;№32514773023;Прочие;Оказание услуг «Защита веб-приложений (WAF);;;1;Оказание услуг «Защита веб-приложений (WAF)»;1728000.00;RUB;;;;;63.9: Услуги информационные прочие;63.9: Услуги информационные прочие;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САМАРСКАЯ СЕТЕВАЯ КОМПАНИЯ""";;22.04.2025;22.04.2025;Закупка завершена;;22.04.2025;30.04.2025;
223-ФЗ;№32514762221;Закупка у единственного поставщика (подрядчика, исполнителя);«Обеспечение функционирования Единой системы учета и оплаты питания в образовательных организациях Республики Башкортостан»;;;1;«Обеспечение функционирования Единой системы учета и оплаты питания в образовательных организациях Республики Башкортостан»;2000000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ДЕТСКОГО И ДИЕТИЧЕСКОГО ПИТАНИЯ"" ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН";;18.04.2025;18.04.2025;Закупка завершена;;18.04.2025;;
223-ФЗ;№32514747640;Прочие;"На предоставление права использования программы ""Стек-Интеграция"" Модуль ""ГИС-ЖКХ""";;;1;"Право использования программы ""Стек-Интеграция"" Модуль ""ГИС-ЖКХ""";180000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЕКСИНЭНЕРГОСБЫТ""";;16.04.2025;16.04.2025;Закупка завершена;;16.04.2025;16.04.2025;
223-ФЗ;№32514743976;Прочие;Оказание услуг по миграции автоматизированных рабочих мест и серверов на общесистемное и прикладное отечественное программное обеспечение;;;1;Оказание услуг по миграции автоматизированных рабочих мест и серверов на общесистемное и прикладное отечественное программное обеспечение;6500000.00;RUB;;;;;63.9: Услуги информационные прочие;63.9: Услуги информационные прочие;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭЛЕКТРОСЕТИ КУБАНИ""";;15.04.2025;15.04.2025;Закупка завершена;;15.04.2025;28.04.2025;
223-ФЗ;№32514667849;Прочие;Разработка и внедрение информационной системы «Личный кабинет для подачи заявок на технологическое присоединение АО «ЛОЭСК»;;;1;Разработка информационной системы «Личный кабинет для подачи заявок на технологическое присоединение» и интеграции с ЕПГУ для АО «ЛОЭСК»;18906666.67;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛОЭСК-ЭЛЕКТРИЧЕСКИЕ СЕТИ САНКТ-ПЕТЕРБУРГА И ЛЕНИНГРАДСКОЙ ОБЛАСТИ""";;28.03.2025;08.04.2025;Закупка завершена;;28.03.2025;15.04.2025;
223-ФЗ;№32514715868;Прочие;Лицензионные экземпляры программ для ЭВМ, поставка программного обеспечения Инж-РУ 2025;;;1;Лицензионные экземпляры программ для ЭВМ, поставка программного обеспечения Инж-РУ 2025;560000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ""СТРОИТЕЛЬСТВО""";;07.04.2025;07.04.2025;Закупка завершена;;07.04.2025;;
223-ФЗ;№32514710956;Прочие;Программный комплекс «ЛИРА 10»;;;1;Программный комплекс «ЛИРА 10» ;594400.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ""СТРОИТЕЛЬСТВО""";;04.04.2025;04.04.2025;Закупка завершена;;04.04.2025;;
223-ФЗ;№32514673773;Закупка у единственного поставщика (подрядчика, исполнителя);Лицензионный Договор о предоставлении права использования ПО CyberStudio (Cyberphysics) для предиктивной аналитики оборудования и оптимизации режимов технологических процессов и на сертификаты технической поддержки на 3 года;;;1;Лицензионный Договор о предоставлении права использования ПО CyberStudio (Cyberphysics) для предиктивной аналитики оборудования и оптимизации режимов технологических процессов и на сертификаты технической поддержки на 3 года;32850000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОВМЕСТНАЯ КОМПАНИЯ ""РУСВЬЕТПЕТРО""";;31.03.2025;31.03.2025;Закупка завершена;;31.03.2025;;
223-ФЗ;№32514671160;Конкурс в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Предоставление права использования программного обеспечения предотвращения утечек информации (DLP);;;1;Предоставление права использования программного обеспечения предотвращения утечек информации (DLP);1505517.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТНС ЭНЕРГО НИЖНИЙ НОВГОРОД""";;28.03.2025;28.03.2025;Закупка завершена;;28.03.2025;07.04.2025;
223-ФЗ;№32514670204;Запрос предложений в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Работы по технической поддержке принадлежащего Заказчику интернет-сайта www.mediascope.net;;;1;Работы по технической поддержке принадлежащего Заказчику интернет-сайта www.mediascope.net;400000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕДИАСКОП""";;28.03.2025;28.03.2025;Закупка завершена;;28.03.2025;07.04.2025;
223-ФЗ;№32514636993;Прочие;"Приобретение права на использование программы для ЭВМ ""1C:Предприятие 8. Расширенная корпоративная лицензия"", в рамках инвестиционного проекта ""ЦА, Разработка и внедрение автоматизированной системы управления предприятием (АСУП)"" (21-1-00-6-13-07-0-0465)";;;1;"Приобретение права на использование программы для ЭВМ ""1C:Предприятие 8. Расширенная корпоративная лицензия"", в рамках инвестиционного проекта ""ЦА, Разработка и внедрение автоматизированной системы управления предприятием (АСУП)"" (21-1-00-6-13-07-0-0465)";2870985.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛОЭСК-ЭЛЕКТРИЧЕСКИЕ СЕТИ САНКТ-ПЕТЕРБУРГА И ЛЕНИНГРАДСКОЙ ОБЛАСТИ""";;20.03.2025;20.03.2025;Закупка завершена;;20.03.2025;01.04.2025;
223-ФЗ;№32514626990;Прочие;Сопровождение и модификация программных продуктов «1С:Биллинг» и «Личный кабинет»;;;1;"Сопровождение и модификация программных продуктов ""1С:Биллинг"" и Личный кабинет";324000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЕКСИНЭНЕРГОСБЫТ""";;18.03.2025;18.03.2025;Закупка завершена;;18.03.2025;18.03.2025;
223-ФЗ;№32514599598;Прочие;Услуги по цифровизации (по направлению «1С: ТОиР»);;;1;Услуги по цифровизации (по направлению «1С: ТОиР»);3288030.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НИЖНЕКАМСКАЯ ТЭЦ""";;11.03.2025;11.03.2025;Закупка завершена;;11.03.2025;;
223-ФЗ;№32514572719;Прочие;На оказание услуг по адаптации и технической поддержки программного обеспечения ;;;1;на оказание услуг по адаптации и технической поддержки программного обеспечения;600000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""СЕВЕРО-КАВКАЗСКИЙ СПЕЦИАЛИЗИРОВАННЫЙ САНАТОРНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР МЧС РОССИИ""";;03.03.2025;03.03.2025;Закупка завершена;;03.03.2025;;
223-ФЗ;№32514538563;Прочие;Право заключения договора на выполнение работ по актуализации и утверждению проекта «Схемы теплоснабжения муниципального образования «город Екатеринбург» до 2045 года» на 2026 год для нужд филиала «Свердловский» ПАО «Т Плюс» (3950927);;;1;Право заключения договора на выполнение работ по актуализации и утверждению проекта «Схемы теплоснабжения муниципального образования «город Екатеринбург» до 2045 года» на 2026 год для нужд филиала «Свердловский» ПАО «Т Плюс»;11120000.00;RUB;;;;;"63.1: Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет";"63.1: Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС""";;21.02.2025;03.03.2025;Закупка завершена;;21.02.2025;07.03.2025;
223-ФЗ;№32514563700;Прочие;Оказание услуг по предоставлению доступа к электронно-библиотечной системе (ЭБС) ZNANIUM.COM для Ивангородского гуманитарно-технического института (филиала) ГУАП.;;;1;Оказание услуг по предоставлению доступа к электронно-библиотечной системе (ЭБС) ZNANIUM.COM для Ивангородского гуманитарно-технического института (филиала) ГУАП.;330000.00;RUB;;;;;"63.1: Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет";"63.1: Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""САНКТ-ПЕТЕРБУРГСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ АЭРОКОСМИЧЕСКОГО ПРИБОРОСТРОЕНИЯ""";;27.02.2025;27.02.2025;Закупка завершена;;27.02.2025;;
223-ФЗ;№32514562237;Закупка у единственного поставщика (подрядчика, исполнителя);На предоставление доступа к сети интернет;;;2;На предоставление доступа к сети интернет;105600.00;RUB;;;;;"63.1: Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет";"63.1: Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧЕРКЕССКТРАНССИГНАЛ""";;27.02.2025;27.02.2025;Закупка завершена;;27.02.2025;;
223-ФЗ;№32514552770;Прочие;Предоставление пользователю на условиях простой (неисключительной) лицензии права на использование программ для электронно-вычислительных машин (ЭВМ) и баз данных;;;1;Предоставление пользователю на условиях простой (неисключительной) лицензии права на использование программ для электронно-вычислительных машин (ЭВМ) и баз данных;163000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ""СТРОИТЕЛЬСТВО""";;25.02.2025;25.02.2025;Закупка завершена;;25.02.2025;;
223-ФЗ;№32514534366;Прочие;Оказание услуг по предоставлению доступа к электронно-библиотечной системе (ЭБС) ZNANIUM.COM.;;;1;Оказание услуг по предоставлению доступа к электронно-библиотечной системе (ЭБС) ZNANIUM.COM.;3500000.00;RUB;;;;;"63.1: Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет";"63.1: Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""САНКТ-ПЕТЕРБУРГСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ АЭРОКОСМИЧЕСКОГО ПРИБОРОСТРОЕНИЯ""";;20.02.2025;20.02.2025;Закупка завершена;;20.02.2025;;
223-ФЗ;№32514526037;Запрос котировок в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;"Услуги по сопровождению ПО ""1С""";;;1;"Услуги по сопровождению ПО ""1С""";1500000.00;RUB;;;;;"63.1: Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет";"63.1: Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""2-ОЙ АРХАНГЕЛЬСКИЙ ОБЪЕДИНЕННЫЙ АВИАОТРЯД""";;18.02.2025;18.02.2025;Закупка завершена;;18.02.2025;26.02.2025;
223-ФЗ;№32514518682;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Оказание услуг по консультационной и методической поддержке реализации  мероприятий, предусмотренных Федеральным законом от 13.07.2020 № 189-ФЗ (ред.от 28.12.2022) «О государственном (муниципальном) социальном заказе на оказание государственных (муниципальных) услуг в социальной сфере», Целевой модели развития региональных систем дополнительного образования детей, технической поддержке «Навигатора дополнительного образования детей Свердловской области»;;;1;Оказание услуг по консультационной и методической поддержке реализации  мероприятий, предусмотренных Федеральным законом от 13.07.2020 № 189-ФЗ (ред.от 28.12.2022) «О государственном (муниципальном) социальном заказе на оказание государственных (муниципальных) услуг в социальной сфере», Целевой модели развития региональных систем дополнительного образования детей, технической поддержке «Навигатора дополнительного образования детей Свердловской области»;4420000.00;RUB;;;;;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ НЕТИПОВОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ДВОРЕЦ МОЛОДЁЖИ""";;17.02.2025;17.02.2025;Закупка завершена;;17.02.2025;25.02.2025;
